model,train_size,test_size,accuracy,precision_weighted,recall_weighted,f1_weighted,train_time_s,predict_time_s
DecisionTree,0.9,0.1,0.996,0.9960317151133753,0.996,0.9960034052339054,2.7758650000000005,0.22463608300000004
NaiveBayes,0.9,0.1,0.968,0.9746775560624801,0.968,0.9691697414701141,1.5848003750000004,0.7960252079999997
RandomForest,0.9,0.1,1.0,1.0,1.0,1.0,5.426654292,0.15362462499999907
LinearSVM,0.9,0.1,1.0,1.0,1.0,1.0,5.675231,0.0829853749999998
DecisionTree,0.8,0.2,0.99575,0.9957413907981082,0.99575,0.9957350505028025,1.1654550830000012,0.16381000000000157
NaiveBayes,0.8,0.2,0.96175,0.968453845885566,0.96175,0.9632365981201227,0.9997020000000028,0.2568314580000006
RandomForest,0.8,0.2,1.0,1.0,1.0,1.0,4.999681708000001,0.2788474590000014
LinearSVM,0.8,0.2,1.0,1.0,1.0,1.0,11.122846917,0.47482670800000193
DecisionTree,0.7,0.3,0.9948333333333333,0.9948543304825431,0.9948333333333333,0.9948313428698664,2.667636042000005,0.6248734580000033
NaiveBayes,0.7,0.3,0.962,0.9676253411446661,0.962,0.9631690949288294,1.2562899170000037,0.7118850419999987
RandomForest,0.7,0.3,1.0,1.0,1.0,1.0,11.57923975,0.7766474579999993
LinearSVM,0.7,0.3,1.0,1.0,1.0,1.0,3.982865167,0.248898834000002
DecisionTree,0.6,0.4,0.995625,0.9956260187776491,0.995625,0.9956196776558195,1.1341353330000032,1.5502106670000018
NaiveBayes,0.6,0.4,0.958125,0.9653191925277644,0.958125,0.9598481729876754,1.8878566659999905,1.0637687500000084
RandomForest,0.6,0.4,1.0,1.0,1.0,1.0,5.464401375000008,0.46268254199999603
LinearSVM,0.6,0.4,1.0,1.0,1.0,1.0,2.7753398329999897,0.3357993329999971
